strain,time,spot
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,0.0
yQC23,0.3333333333333333,1.0
yQC23,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,1.0
yQC22,0.3333333333333333,0.0
yQC22,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,0.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,1.0
yQC21,0.3333333333333333,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,1.0
yQC22,0.6666666666666666,0.0
yQC22,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,0.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC23,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,1.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
yQC21,0.6666666666666666,0.0
